CID CIDint IDSURVEY TYPE FIELD CUTFLAG_SNANA zCMB zCMBERR zHD zHDERR VPEC VPEC_ERR HOST_LOGMASS HOST_LOGMASS_ERR SNRMAX1 SNRMAX2 SNRMAX3 PKMJD PKMJDERR x1 x1ERR c cERR mB mBERR x0 x0ERR COV_x1_c COV_x1_x0 COV_c_x0 NDOF FITCHI2 FITPROB RA DECL TGAPMAX TrestMIN TrestMAX MWEBV MU MUMODEL MUERR MUERR_RAW MURES MUPULL ERRCODE biasCor_mu biasCorErr_mu biasCor_mB biasCor_x1 biasCor_c biasScale_muCOV IDSAMPLE
04D1rx 25 4 0 D1 1 0.9842 0 0.98341 0 -235.092 0 9.769 0.125 20.8955 9.9803 9.4578 53352.555 0.862 0.6025 0.4511 -0.09585 0.0571643 24.4779 0.0596842 2.90306E-06 1.59585E-07 0.00651885 -1.80671E-08 4.41132E-09 24 26.9285 0.3595 36.295959 -4.618349 8.5642 -12.2048 18.9999 0.021328 44.169 44.0553 0.1452 0.2504 0.095 0.656 0 0.061 0.012 -0.004 -0.087 -0.021 0.282 3
04D1si 26 4 0 D1 1 0.7012 0 0.70064 0 -167.644 0 10.638 0.127 39.7801 37.2954 15.9033 53359.926 0.364 0.1404 0.2969 -0.00766252 0.0523554 23.6021 0.032275 6.50373E-06 1.93332E-07 0.00146512 -2.56051E-08 -2.14619E-09 19 21.4022 0.3738 36.203316 -4.56895 9.9882 -10.2797 17.8283 0.020726 43.122 43.1493 0.1832 0.1975 -0.01 -0.055 0 -0.112 0.007 -0.011 -0.103 0.023 0.659 3
04D2al 27 4 0 D2 1 0.83716 0 0.83814 0 293.2191 0 9.642 0.219 22.6638 19.0126 1.6725 53034.727 0.622 -1.33278 0.8079 -0.0908779 0.0733366 24.064 0.0600824 4.25004E-06 2.35189E-07 0.027519 -1.43244E-08 7.55389E-09 13 10.619 0.7157 150.468643 2.164106 26.6225 -7.21465 43.3411 0.01462 43.5058 43.627 0.1748 0.2802 -0.149 -0.852 0 -0.011 0.019 -0.022 -0.67 -0.031 0.338 3
04D2cf 28 4 0 D2 1 0.37016 0 0.3706 0 129.9966 0 10.809 0.1575 102.3753 70.6113 60.2877 53075.883 0.362 -0.869819 0.1627 -0.0137427 0.0298129 22.2071 0.0325221 2.35053E-05 7.04078E-07 -0.000146833 -2.32464E-09 -1.62528E-08 18 17.2618 0.5721 150.483704 1.879478 10.877 3.3356 44.1529 0.01591 41.503 41.4894 0.1254 0.0944 0.012 0.095 0 -0.023 0.011 -0.002 -0.029 0.005 0.755 3
04D2fs 29 4 0 D2 1 0.35816 0 0.35858 0 125.5687 0 8.386 0.294 87.5829 74.6128 56.0943 53107.695 0.129 0.0976984 0.102 0.060676 0.0252537 22.1677 0.0268213 2.43747E-05 6.02135E-07 -0.000300867 -8.13842E-09 -1.17352E-08 17 23.3853 0.1371 150.092026 1.765398 10.9732 -10.5558 32.1049 0.014534 41.3051 41.4055 0.1272 0.0817 -0.102 -0.803 0 -0.042 0.01 0.004 -0.014 0.012 0.87 3
04D2gc 30 4 0 D2 1 0.52216 0 0.52278 0 183.1354 0 9.326 0.2025 62.6068 38.5518 26.891 53118.105 0.252 1.1111 0.2037 0.0164202 0.0343362 23.0717 0.0270321 1.06002E-05 2.63918E-07 -0.00014406 -1.85482E-08 -3.87358E-09 14 15.9327 0.3175 150.413605 1.883052 9.79 -8.40576 21.799 0.016168 42.5211 42.3774 0.1516 0.1283 0.147 0.972 0 -0.032 0.007 0.002 0.069 0.012 0.81 3
04D2iu 31 4 0 D2 1 0.70116 0 0.70198 0 245.2569 0 6 5 21.2946 20.7345 4.2707 53120.742 0.51 -1.91278 0.4153 0.0392579 0.0818692 23.9665 0.0456864 4.64932E-06 1.95638E-07 0.00241267 -3.71185E-08 2.45618E-09 8 7.17 0.5184 150.304916 2.41505 8.7707 -9.07169 17.9527 0.016168 43.0851 43.1544 0.2822 0.3212 -0.052 -0.185 0 -0.259 0.038 -0.028 -0.598 0.037 0.692 3
04D2kr 32 4 0 D2 1 0.74526 0 0.74613 0 260.9567 0 6 5 38.2855 23.6414 14.8124 53359.387 0.357 0.7937 0.3091 -0.0223118 0.0500899 23.5891 0.0318784 6.58194E-06 1.93253E-07 -0.000718935 -3.00555E-08 -7.79849E-10 28 29.0521 0.4099 150.155594 1.711927 10.2802 -5.62387 34.4039 0.015996 43.1764 43.3166 0.1697 0.2016 -0.123 -0.725 0 -0.077 0.006 -0.005 0.038 0.021 0.548 3
04D2mh 33 4 0 D2 1 0.59116 0 0.59185 0 206.5946 0 9.097 0.418 57.1962 42.2422 26.9708 53376.379 0.246 1.5815 0.1721 0.0182101 0.0302827 23.1291 0.0265514 1.00543E-05 2.45875E-07 0.000159444 -1.48734E-08 -4.0917E-09 38 45.1066 0.1991 149.941208 2.141025 13.2223 -14.9936 44.0006 0.017372 42.6024 42.703 0.1353 0.1097 -0.135 -1 0 0.011 0.011 0.013 0.336 0.015 0.764 3
04D3co 34 4 0 D3 1 0.62039 0 0.62063 0 72.5865 0 9.517 0.243 31.2942 30.474 8.4173 53101.488 0.262 -0.666539 0.1929 -0.0200703 0.0174857 23.5276 0.0316858 6.96587E-06 2.0329E-07 0.000164581 -2.01601E-08 -4.55019E-10 39 27.6735 0.9124 214.458252 52.963612 9.1845 -12.9003 41.9391 0.008428 42.8811 42.8282 0.1176 0.0867 0.063 0.537 0 -0.08 0.009 -0.006 -0.129 0.014 0.711 3
04D3dd 35 4 0 D3 1 1.0024 0 1.00279 0 119.2114 0 9.48 0.1335 11.6246 5.6167 5.3488 53113.465 1.1 0.738 0.6702 -0.013148 0.0717522 24.742 0.0942592 2.27624E-06 1.97614E-07 0.0118519 -6.15648E-08 6.59371E-09 43 95.5868 7.22306E-06 214.451691 52.470676 7.432 -14.9518 44.3677 0.006622 44.449 44.1077 0.1816 0.3342 0.323 1.777 0 -0.239 0.015 -0.045 -0.046 0.051 0.267 3
04D3do 36 4 0 D3 1 0.6104 0 0.61064 0 73.1269 0 10.485 0.071 54.5054 34.0874 17.7316 53113.004 0.878 -0.826452 0.1495 -0.108506 0.0343143 23.3017 0.0310478 8.57649E-06 2.45254E-07 -0.00074078 -1.08135E-08 -2.39119E-09 42 62.3048 0.0285666 214.442001 52.267551 9.2416 -11.4688 43.0779 0.007654 42.8224 42.7853 0.1331 0.1331 0.047 0.356 0 0.108 0.009 -0.006 -0.109 -0.036 0.597 3
04D3fk 37 4 0 D3 1 0.35819 0 0.35833 0 42.4017 0 10.189 0.0765 114.2262 93.2508 71.6603 53126.93 0.084 -0.395308 0.0811272 0.078712 0.0229451 22.2552 0.0255751 2.24863E-05 5.29676E-07 -1.56638E-05 -7.37887E-09 -9.74015E-09 39 48.2298 0.1476 214.6091 52.528469 10.2159 -12.8453 40.8232 0.006794 41.3081 41.4037 0.1238 0.0711 -0.097 -0.787 0 -0.047 0.013 0.003 -0.02 0.013 0.902 3
